,cost,rooms,area,type,bedrooms,baths,garage,etage,balconyOrTerrace,garden,kitchen,guest_toilet,lift,basement,no_stairs_access,currently_rented
0,1295000,4.5,104.0,Dachgeschoss,,1,1,2,True,True,True,True,False,True,False,True
0,360000,1.5,37.0,Etagenwohnung,1,1,,3,False,False,True,False,True,True,False,True
0,319825,1.0,21.08,,,1,,2,True,False,False,False,True,True,False,False
0,985000,2.0,87.0,Etagenwohnung,,1,,4,True,False,False,True,True,True,False,False
0,394500,2.0,41.0,Etagenwohnung,1,1,,1,True,False,True,False,True,True,False,True
0,2290000,4.0,176.0,Penthouse,2,2,2,3,True,False,True,True,True,True,False,False
0,720000,3.0,74.19,Etagenwohnung,1,2,2,3,True,False,True,False,True,True,False,False
0,350000,2.0,42.0,Etagenwohnung,1,1,1,4,True,False,True,False,True,False,False,True
0,659000,2.0,51.0,Etagenwohnung,1,1,,1,True,False,False,False,False,True,False,True
0,425000,2.0,53.13,Etagenwohnung,1,1,1,,True,False,False,False,True,True,False,True
0,349900,1.0,35.7,Etagenwohnung,1,1,1,6,False,False,True,False,True,True,False,False
0,1700000,4.0,125.0,Etagenwohnung,3,1,1,3,True,False,False,True,True,True,False,False
0,1500000,3.0,98.0,Etagenwohnung,3,2,1,1,True,False,True,True,True,True,True,False
0,548000,2.0,40.69,Erdgeschosswohnung,1,1,1,0,False,False,False,False,True,False,True,False
0,1071000,3.5,133.0,Dachgeschoss,2,1,1,,True,False,True,True,True,True,False,False
0,1490000,4.0,177.0,Dachgeschoss,3,3,1,2,True,True,True,False,False,True,False,False
0,950000,4.0,101.0,Dachgeschoss,,,1,4,True,False,True,False,True,False,False,True
0,279000,1.0,34.4,,1,1,,4,True,False,True,False,False,True,False,True
0,610500,2.0,62.81,Erdgeschosswohnung,1,1,1,,True,True,True,False,False,False,True,True
0,3295000,2.5,96.0,Etagenwohnung,2,,1,9,False,False,True,True,True,True,True,False
0,938000,4.0,82.0,,,2,1,1,True,False,True,False,True,False,False,True
0,549000,2.0,54.0,Etagenwohnung,1,1,1,1,True,False,True,False,True,False,False,False
0,870000,3.0,88.0,Erdgeschosswohnung,2,1,,0,True,True,False,True,True,True,False,False
0,650000,2.0,91.87,Terrassenwohnung,1,1,1,,False,True,False,False,False,False,False,True
0,519000,3.0,61.23,Etagenwohnung,,1,1,1,True,False,True,False,False,True,False,False
0,490000,4.0,94.0,Dachgeschoss,3,,1,6,True,False,True,False,True,False,False,False
0,6300000,5.0,262.2,Etagenwohnung,3,2,3,1,True,True,True,True,True,True,False,False
0,2050000,4.5,148.0,Dachgeschoss,2,1,,4,True,False,False,True,True,True,False,False
0,586000,3.0,69.6,Etagenwohnung,2,1,,3,False,False,True,False,True,False,False,False
0,595000,3.0,75.0,,2,1,1,4,True,False,False,False,False,True,False,True
0,800000,3.0,87.0,Etagenwohnung,2,1,,4,True,False,False,False,True,True,False,True
0,4550000,5.0,152.0,Maisonette,3,3,,1,False,False,True,True,True,True,False,False
0,1899900,3.5,112.58,Etagenwohnung,2,2,2,1,True,False,False,False,False,True,False,False
0,839000,3.0,89.6,Etagenwohnung,,2,1,3,True,False,True,True,True,True,True,False
0,875655,3.0,107.0,Dachgeschoss,1,1,1,3,True,False,True,True,False,True,False,False
0,749999,3.0,71.0,Erdgeschosswohnung,2,1,,,True,False,True,False,True,True,False,True
0,550000,2.0,63.0,Maisonette,1,1,1,3,True,False,True,False,False,True,False,False
0,3050000,7.0,253.0,Sonstige,2,2,2,,True,True,True,True,True,True,True,False
0,699000,3.0,85.0,Etagenwohnung,,1,,5,True,False,True,False,True,True,True,False
0,1049000,3.5,93.76,Dachgeschoss,,2,1,3,True,True,True,True,True,True,True,True
0,299000,4.0,94.0,Etagenwohnung,,,,2,False,False,True,False,True,True,True,False
0,355000,1.0,35.18,Etagenwohnung,1,1,1,2,True,False,True,False,True,True,False,True
0,750000,2.5,76.3,Etagenwohnung,2,1,1,3,True,True,True,False,True,True,False,False
0,250000,1.0,34.0,,1,1,,1,True,False,True,False,True,True,False,True
0,2975000,5.0,215.0,Terrassenwohnung,3,2,2,0,True,True,True,False,True,True,True,False
0,465000,3.0,61.0,Etagenwohnung,2,1,1,1,True,False,False,False,True,True,False,True
0,540000,3.0,70.0,,2,1,,1,False,False,False,False,False,False,False,True
0,1650000,3.5,110.0,Etagenwohnung,0,1,D,3,True,False,True,True,True,False,False,False
0,225000,1.0,36.0,,,,,,False,False,False,False,False,False,False,False
0,308000,1.0,32.6,Etagenwohnung,1,1,,,True,False,True,False,True,True,False,False
0,995000,2.5,73.15,Erdgeschosswohnung,,,1,,True,True,True,False,True,True,False,False
0,828000,3.0,90.32,Etagenwohnung,2,1,1,1,True,True,False,True,True,True,True,False
0,1539000,4.0,127.0,Erdgeschosswohnung,3,2,1,,False,False,False,False,True,True,True,False
0,875000,2.5,93.0,Etagenwohnung,1,1,1,1,True,False,True,True,False,True,False,False
0,924900,2.0,74.0,Erdgeschosswohnung,1,1,,,True,True,True,False,True,False,True,False
